                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0676,                 4.8071,                 2.0933,                      0,                      0,                      0,                      0,                 2.0268,                 4.9244,                 2.4184,                      0,                      0,                      0
                      1,                 1.6435,                 4.5045,                 1.6933,                      0,                      0,                      0,                      0,                  1.969,                 4.9927,                 2.3927,             4.7443e-06,             4.7443e-06,             4.7443e-06
                      2,                 1.7251,                 4.6846,                 1.8374,                      0,                      0,                      0,                      0,                  1.966,                 4.9635,                 2.3872,             9.4572e-06,             9.4572e-06,             9.4572e-06
                      3,                 1.9053,                 4.6279,                 1.8023,                      0,                      0,                      0,                      0,                  1.948,                 5.0553,                 2.3634,             1.4139e-05,             1.4139e-05,             1.4139e-05
                      4,                 1.8225,                 4.6251,                 1.8664,                      0,                      0,                      0,                      0,                 1.9592,                 5.1024,                 2.3482,             1.8789e-05,             1.8789e-05,             1.8789e-05
                      5,                 1.9309,                 4.8598,                 1.9189,                      0,                      0,                      0,                      0,                 2.0323,                 5.1101,                 2.2921,             2.3407e-05,             2.3407e-05,             2.3407e-05
                      6,                 1.5313,                 4.6357,                 1.6434,                      0,                      0,                      0,                      0,                 2.2094,                 4.9648,                 2.2744,             2.7995e-05,             2.7995e-05,             2.7995e-05
                      7,                 1.7115,                  4.524,                 1.7431,                      0,                      0,                      0,                      0,                 2.1181,                 4.9395,                 2.2387,              3.255e-05,              3.255e-05,              3.255e-05
                      8,                 1.7259,                 4.5014,                 1.7571,                      0,                      0,                      0,                      0,                 2.0496,                 4.7858,                 2.2707,             3.7075e-05,             3.7075e-05,             3.7075e-05
                      9,                 1.4369,                 4.4311,                 1.5559,                      0,                      0,                      0,                      0,                 2.1418,                 4.6517,                 2.1829,             4.1568e-05,             4.1568e-05,             4.1568e-05
                     10,                 1.6964,                  4.541,                 1.7685,                      0,                      0,                      0,                      0,                 2.1564,                 4.6246,                 2.1479,             4.6029e-05,             4.6029e-05,             4.6029e-05
                     11,                 1.5678,                 4.4161,                 1.6447,                      0,                      0,                      0,                      0,                 2.2124,                 4.5124,                 2.0179,             5.0459e-05,             5.0459e-05,             5.0459e-05
                     12,                 1.3757,                 4.4168,                 1.5608,                      0,                      0,                      0,                      0,                 1.9352,                  4.512,                 1.9617,             5.4858e-05,             5.4858e-05,             5.4858e-05
                     13,                 1.4635,                 4.3263,                 1.5977,                      0,                      0,                      0,                      0,                  1.818,                  4.424,                  1.976,             5.9225e-05,             5.9225e-05,             5.9225e-05
                     14,                 1.4555,                 4.1819,                 1.5404,                      0,                      0,                      0,                      0,                  1.878,                 4.3757,                 1.9138,             6.3561e-05,             6.3561e-05,             6.3561e-05
                     15,                 1.5543,                 4.1692,                 1.5787,                      0,                      0,                      0,                      0,                  1.844,                 4.4172,                 1.8072,             6.7866e-05,             6.7866e-05,             6.7866e-05
                     16,                 1.4716,                 4.3243,                 1.5307,                      0,                      0,                      0,                      0,                 1.7247,                 4.4507,                 1.6409,             7.2139e-05,             7.2139e-05,             7.2139e-05
                     17,                 1.6316,                 4.2293,                 1.7102,                      0,                      0,                      0,                      0,                 1.7247,                 4.4507,                 1.6409,              7.638e-05,              7.638e-05,              7.638e-05
